"_time",source,sourcetype,EventCode,EventType,RecordNumber,OpCode,Message,"anonymized_ComputerName"
"2016-03-21T12:54:14.000-0700","WinEventLog:System","WinEventLog:System",20001,4,4226,Info,"Driver Management concluded the process to install driver kdnic.inf_amd64_ea6e04e0dfe580a1\kdnic.inf for Device Instance ID ROOT\KDNIC\0000 with the following status: 0x0.","anon_ComputerName_13"
"2016-03-21T12:55:12.000-0700","WinEventLog:System","WinEventLog:System",20001,4,4343,Info,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\TEREDO_TUNNEL_DEVICE with the following status: 0x0.","anon_ComputerName_9"
"2016-03-21T12:55:12.000-0700","WinEventLog:System","WinEventLog:System",20001,4,4340,Info,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_0 with the following status: 0x0.","anon_ComputerName_9"
"2016-03-21T14:35:39.000-0700","WinEventLog:System","WinEventLog:System",20001,4,4385,Info,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_1 with the following status: 0x0.","anon_ComputerName_9"
"2016-03-25T15:21:27.000-0700","WinEventLog:System","WinEventLog:System",20001,4,39802,Info,"Driver Management concluded the process to install driver FileRepository\vmci.inf_amd64_neutral_faff95b55e0fdc1f\vmci.inf for Device Instance ID ROOT\VMWVMCIHOSTDEV\0000 with the following status: 0x0.","anon_ComputerName_6"
"2016-03-25T15:21:27.000-0700","WinEventLog:System","WinEventLog:System",20001,4,39799,Info,"Driver Management concluded the process to install driver FileRepository\vmci.inf_amd64_neutral_faff95b55e0fdc1f\vmci.inf for Device Instance ID PCI\VEN_15AD&DEV_0740&SUBSYS_074015AD&REV_10\3&2B8E0B4B&0&3F with the following status: 0x0.","anon_ComputerName_6"
"2016-03-25T15:21:32.000-0700","WinEventLog:System","WinEventLog:System",20001,4,39811,Info,"Driver Management concluded the process to install driver FileRepository\vmxnet3ndis6.inf_amd64_neutral_06f9d7f40b2ce86c\vmxnet3ndis6.inf for Device Instance ID PCI\VEN_15AD&DEV_07B0&SUBSYS_07B015AD&REV_01\FF565000482CAEFE00 with the following status: 0x0.","anon_ComputerName_6"
"2016-03-25T15:21:40.000-0700","WinEventLog:System","WinEventLog:System",20001,4,39815,Info,"Driver Management concluded the process to install driver FileRepository\vm3d.inf_amd64_neutral_ba63fe4978c9d598\vm3d.inf for Device Instance ID PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&2B8E0B4B&0&78 with the following status: 0x0.","anon_ComputerName_6"
"2016-07-11T14:48:17.000-0700","WinEventLog:System","WinEventLog:System",20001,4,4587,Info,"Driver Management concluded the process to install driver kdnic.inf_amd64_ea6e04e0dfe580a1\kdnic.inf for Device Instance ID ROOT\KDNIC\0000 with the following status: 0x0.","anon_ComputerName_12"
"2016-07-11T14:48:58.000-0700","WinEventLog:System","WinEventLog:System",20001,4,4709,Info,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_0 with the following status: 0x0.","anon_ComputerName_8"
"2016-07-11T16:31:30.000-0700","WinEventLog:System","WinEventLog:System",20001,4,4752,Info,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\TEREDO_TUNNEL_DEVICE with the following status: 0x0.","anon_ComputerName_8"
"2016-07-14T19:38:06.000-0700","WinEventLog:System","WinEventLog:System",20001,4,192363,Info,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\TEREDO_TUNNEL_DEVICE with the following status: 0x0.","anon_ComputerName_7"
"2016-08-02T18:27:23.000-0700","WinEventLog:System","WinEventLog:System",20001,4,193871,Info,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_1 with the following status: 0x0.","anon_ComputerName_7"
"2016-08-02T18:27:40.000-0700","WinEventLog:System","WinEventLog:System",20001,4,193878,Info,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_2 with the following status: 0x0.","anon_ComputerName_7"
"2016-08-15T00:24:50.000-0700","WinEventLog:System","WinEventLog:System",20001,4,97669,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-15T00:24:51.000-0700","WinEventLog:System","WinEventLog:System",20001,4,97676,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-24T15:20:49.000-0700","WinEventLog:System","WinEventLog:System",20001,4,130865,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.","anon_ComputerName_2"
"2016-08-25T15:42:38.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100063,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-25T15:42:39.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100070,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-25T15:50:04.000-0700","WinEventLog:System","WinEventLog:System",20001,4,131093,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.","anon_ComputerName_2"
"2016-08-25T16:01:51.000-0700","WinEventLog:System","WinEventLog:System",20001,4,131112,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.","anon_ComputerName_2"
"2016-08-25T16:46:06.000-0700","WinEventLog:System","WinEventLog:System",20001,4,89939,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T16:46:07.000-0700","WinEventLog:System","WinEventLog:System",20001,4,89944,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T16:46:16.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100119,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-25T16:46:16.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100110,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-25T16:49:10.000-0700","WinEventLog:System","WinEventLog:System",20001,4,89973,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T16:49:10.000-0700","WinEventLog:System","WinEventLog:System",20001,4,89966,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T16:56:26.000-0700","WinEventLog:System","WinEventLog:System",20001,4,90005,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T16:56:26.000-0700","WinEventLog:System","WinEventLog:System",20001,4,90000,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T17:30:55.000-0700","WinEventLog:System","WinEventLog:System",20001,4,131151,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.","anon_ComputerName_2"
"2016-08-25T17:52:12.000-0700","WinEventLog:System","WinEventLog:System",20001,4,90045,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T17:52:13.000-0700","WinEventLog:System","WinEventLog:System",20001,4,90052,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T18:18:11.000-0700","WinEventLog:System","WinEventLog:System",20001,4,131185,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.","anon_ComputerName_2"
"2016-08-25T18:20:42.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100167,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-25T18:20:43.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100175,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-25T19:48:26.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100212,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-25T19:48:27.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100219,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-25T20:05:21.000-0700","WinEventLog:System","WinEventLog:System",20001,4,90103,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-25T20:05:22.000-0700","WinEventLog:System","WinEventLog:System",20001,4,90110,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-26T03:23:45.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100376,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-26T03:23:46.000-0700","WinEventLog:System","WinEventLog:System",20001,4,100385,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-29T12:35:46.000-0700","WinEventLog:System","WinEventLog:System",20001,4,132904,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.","anon_ComputerName_2"
"2016-08-29T12:39:06.000-0700","WinEventLog:System","WinEventLog:System",20001,4,92701,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-29T12:39:07.000-0700","WinEventLog:System","WinEventLog:System",20001,4,92706,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-08-29T12:52:24.000-0700","WinEventLog:System","WinEventLog:System",20001,4,102062,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-08-29T12:52:25.000-0700","WinEventLog:System","WinEventLog:System",20001,4,102069,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
